FlightID,DepartureAirport,ArrivalAirport,DepartureTime,ArrivalTime,NumberOfPassengers
F1,JFK,LAX,2023-01-15 8:00:00,2023-01-15 11:30:00,150
F2,LHR,JFK,2023-02-01 14:00:00,2023-02-01 17:30:00,200
F3,SFO,ORD,2023-03-10 9:00:00,2023-03-10 12:30:00,180
F4,ATL,MIA,2023-06-20 16:00:00,2023-06-20 18:00:00,120
F5,ORD,LAX,2023-07-01 7:30:00,2023-07-01 9:30:00,160
F6,DFW,BOS,2023-05-11 10:00:00,2023-05-11 12:30:00,140
F7,LAS,MIA,2023-08-01 14:30:00,2023-08-01 17:00:00,220
F8,SEA,LAX,2023-09-20 8:30:00,2023-09-20 11:00:00,175
F9,SFO,ORD,2023-11-10 6:45:00,2023-11-10 9:15:00,160
F10,ATL,LHR,2023-10-10 12:00:00,2023-10-10 14:30:00,200
F11,BOS,DFW,2023-07-15 9:00:00,2023-07-15 11:30:00,180
F12,MIA,JFK,2023-06-05 14:00:00,2023-06-05 16:30:00,130
F13,MCO,ORD,2023-04-18 7:30:00,2023-04-18 9:30:00,210
F14,LAX,LAS,2023-03-05 10:30:00,2023-03-05 12:00:00,150
F15,BOS,SFO,2023-02-20 12:30:00,2023-02-20 15:00:00,220
F16,SEA,ORD,2023-09-01 9:00:00,2023-09-01 11:30:00,200
F17,MIA,DFW,2023-04-25 13:30:00,2023-04-25 16:00:00,180
F18,SFO,BOS,2023-05-21 7:00:00,2023-05-21 9:30:00,170
F19,LHR,BOS,2023-08-15 15:30:00,2023-08-15 18:00:00,160
F20,JFK,SEA,2023-10-15 8:00,2023-10-15 11:00,190
